No,Username,Rating,Waktu,Ulasan Text,Teks_Clean,Sentimen
1,t*****a,5,2022-08-28 16:48,"Kualitas: bagus Cocok Untuk: boluu Nyampenya cepet, setelah dieksekusi hasilnya memuaskan, enak bgt bolunya, pas mateng langsung aku serbu sendiri sampe mau habis separonya.. makasih seller, next bakalan order lagi nih!!  26 t*****9",kualitas bagus cocok boluu nyampenya cepet eksekusi hasil muas bgt bolu pas mateng serbu sampe habis paro makasih seller next order nih,Positif
2,t*****9,5,2022-03-17 19:32,"Jenis: tepung ketan hitam Harga: murah Kualitas: bagus Pertama kali beli tepung ini buat bikin bolu ketan pas lebaran nanti, keliatannya sih kualitas tepungnya bagus. Untuk packing rapih, pengiriman jg cepet, harga murah. Thanks eak👍  4 a*****2",jenis tepung ketan hitam harga murah kualitas bagus beli tepung bikin bolu ketan pas lebaran liat sih kualitas tepung bagus packing rapih kirim jg cepet harga murah thanks eak,Positif
3,a*****2,5,2025-07-07 20:01,"Rasa: enak Tekstur: normal seperti tepung ketan pada umumnya Kegunaan: cocok untuk membuat kue Solusi jitu biar ga berebut tepung ketan hitam di pasar ya beli disini aja guys. Recomended, harga bersahabat, pengiriman cepat. Mantap, thanks 👍🙏  1 nienieng",tekstur normal tepung ketan guna cocok kue solusi jitu biar ga rebut tepung ketan hitam pasar beli aja guys recomended harga sahabat kirim cepat mantap thanks nienieng,Positif
4,nienieng,5,2025-06-06 19:08,"Rasa: enak dibuat bolu Kegunaan: buat bolu ketan hitam ORI dan keju lumer Kualitas: baik Pake tepung ini hitamnya pekat dan legit bgt di buat bolu apalagi klo bolunya sudah suhu ruang. Terima kasih seller, sukses selalu usahanya  3 raiqa.hijab | Langganan",bolu guna bolu ketan hitam ori keju lumer kualitas pake tepung hitam pekat legit bgt bolu klo bolu suhu ruang terima kasih seller sukses usaha raiqa hijab langgan,Positif
5,Langganan,5,2022-02-05 10:19,Jenis: tepung ketan hitam Harga: murah Kualitas: ok Yuk bantu UMKM kita maju dengan berbelanja di toko ini. Pengemasan sangat baik. Harga ramah di kantong. Kualitas Ok  4 m*****3,jenis tepung ketan hitam harga murah kualitas ok yuk bantu umkm maju belanja toko emas harga ramah kantong kualitas ok,Positif
6,m*****3,5,2023-06-09 08:42,"Kualitas: sangat baikkk sekali, enak poll dan bakal langganan terus ditoko ini 😍 Cocok Untuk: bolu kukus dan panggang  4 1 2 3 4 5 ...",kualitas baikkk poll langgan toko cocok bolu kukus panggang,Positif
7,Langganan,5,2022-02-02 12:40,Jenis: Tepung ketan hitam Harga: murah Kualitas: baik sekali terMANTUL lah pokoknya Next pasti order lagi la  2 3ra43w69o0,jenis tepung ketan hitam harga murah kualitas termantul pokok next order la rawo,Positif
8,3ra43w69o0,5,2025-08-05 12:41,Rasa: enak banget Tekstur: lembut Kegunaan: cocok buat kue Tepung nya asli bagus banget Enak Kentan hitam nya terasa banget Beda sama tepung yang ditoko toko yang merek….. Terima kasih toko amanah banget deh,banget tekstur lembut guna cocok kue tepung asli bagus banget kentan hitam banget beda tepung toko toko merek terima kasih toko amanah banget deh,Positif
9,1,5,2022-06-06 17:15,"Sudah dicoba buat bikin bolu ketan hitam dan enak, legit. Terima kasih seller  7 lianawatihasibuan582",coba bikin bolu ketan hitam legit terima kasih seller lianawatihasibuan,Positif
10,lianawatihasibuan582,5,2025-06-17 14:03,"Komposisinya 100% beras ketan hitam,alami dan produksi lokal indonesia  1 k*****i",komposisi beras ketan hitam alami produksi lokal indonesia,Positif
11,k*****i,5,2025-06-08 10:47,"Dbikin bolu ketan hitam hsilx bolu hitam pekat enk tektur kasar , d paking rapi  2 s*****u",dbikin bolu ketan hitam hsilx bolu hitam pekat enk tektur kasar paking rapi,Netral
12,s*****u,5,2023-05-07 16:22,"Cocok Untuk: bolu ketan hitam Kualitas tepungnya emang bagus, masih baru. Thanks  1 1 2 3 4 5 ...",cocok bolu ketan hitam kualitas tepung emang bagus thanks,Positif
13,Anonymous,5,2022-06-06 17:15,"Sudah dicoba buat bikin bolu ketan hitam dan enak, legit. Terima kasih seller",coba bikin bolu ketan hitam legit terima kasih seller,Positif
14,0*****a,5,2022-07-24 13:47,"sesuai pesanan, packing rapih dan aman, pengiriman cepet. terima kasih seller and shopee.  2 a*****i",sesuai pesan packing rapih aman kirim cepet terima kasih seller and shopee,Positif
15,a*****i,5,2025-06-09 13:36,Rasa: pas Kegunaan: pas Tekstur: pas Alhamdulillah paket sudah sampai penjualnya amanah gercep recomended terimakasih banyak ka,pas guna pas tekstur pas alhamdulillah paket jual amanah gercep recomended terimakasih ka,Positif
16,1,5,2022-03-17 14:34,Jenis: bahan buat bikin macam macam makanan Harga: murah Kualitas: sangat baik Pengemasan rapi barang sampai dengan sangat baik Toko nya sangat di anjurkan Terimakasih seller dan shopee  3 b*****i,jenis bahan bikin makan harga murah kualitas emas rapi barang toko anjur terimakasih seller shopee,Positif
17,b*****i,5,2022-03-16 09:24,Jenis: kue ketan Harga: suka banget Kualitas: enak banget suka Pengiriman super cepat  1 perawa1119,jenis kue ketan harga suka banget kualitas banget suka kirim super cepat awa,Positif
18,perawa1119,5,2022-04-12 09:10,Jenis: tepung ketan hitam Harga: bagussss Kualitas: semoga bagus Terima kasih barang sudah diterima  1 d*****a,jenis tepung ketan hitam harga bagussss kualitas moga bagus terima kasih barang terima,Positif
19,d*****a,5,2025-06-20 04:52,"Rasa: lezatt Tekstur: lembut Kegunaan: cocok untuk kue Pengiriman cepat ya min, barang bagus tidak ada yang cacat sama sekali harganya juga tidak mahal. Toko amanah laris manis tanjung kimpul  1 1 2 3 4 5 6 ...",lezatt tekstur lembut guna cocok kue kirim cepat min barang bagus cacat harga mahal toko amanah laris manis tanjung kimpul,Netral
20,Anonymous,5,2022-03-17 14:34,Jenis: bahan buat bikin macam macam makanan Harga: murah Kualitas: sangat baik Pengemasan rapi barang sampai dengan sangat baik Toko nya sangat di anjurkan Terimakasih seller dan shopee,jenis bahan bikin makan harga murah kualitas emas rapi barang toko anjur terimakasih seller shopee,Positif
21,desisna_10,5,2022-03-04 15:15,Jenis: tepung Harga: affordibel Kualitas: bagus Pengiriman top markotop 👍👍👍👍👍  1 naynaycucunyaabahhaji | Langganan,jenis tepung harga affordibel kualitas bagus kirim top markotop naynaycucunyaabahhaji langgan,Positif
22,Langganan,5,2022-02-16 11:22,Alhamdulillah paket dah sampai kualitas bagus kurir ramah pengirimanpun ceoat..thanks seller 1 mayhaikal,alhamdulillah paket dah kualitas bagus kurir ramah kirim ceoat thanks seller mayhaikal,Positif
23,mayhaikal,5,2025-07-12 11:54,"Rasa: enak Tekstur: lumayan lembut Kegunaan: cocok untuk bolu Harganya murah, kualitas lumayan bagus dan bagus, nggak ngeres dimulut ketika dimakan , buat yg mau nyari tepung ketan hitam jgn ragu order disini, nex mo order lagi  2 z*****a",tekstur lumayan lembut guna cocok bolu harga murah kualitas lumayan bagus bagus nggak ngeres mulut makan yg nyari tepung ketan hitam jgn ragu order nex mo order,Positif
24,z*****a,5,2022-06-09 14:28,Jenis: tepung Harga: 6ribuan Kualitas: blm dicoba Terima kasih paket dah sampe komplit ga ada yang kurang kl dah dicoba dan cocok beli lgi..  1 riyadiugie,jenis tepung harga ribu kualitas blm coba terima kasih paket dah sampe komplit ga kl dah coba cocok beli lgi riyadiugie,Negatif
25,riyadiugie,5,2026-02-27 01:12,"Tekstur: lembut Rasa: setelah dibikin roti enak tepungnya Rasakan: manisnya pas, sdh mencoba Pesanan kedua kalinya Recommended Pas pesan pertama dibikin roti puas banget sesuai ekspektasi",tekstur lembut bikin roti tepung rasa manis pas sdh coba pesan kali recommended pas pesan bikin roti puas banget sesuai ekspektasi,Positif
26,nafingatulum,5,2025-08-25 11:29,"Rasa: enak mantep Tekstur: berpasir tapi lembutt banget Kegunaan: bolu brownies dll Kalian yg mau cobaaa ketan hitam buat bolu dan brownies. Ini enak banged. Hitam hasilnya, rasane enak banget, apalagi berpasirnya lembut, jadi ga yg kasar. Wahh rekomended banget !",mantep tekstur pasir lembutt banget guna bolu brownies dll yg cobaaa ketan hitam bolu brownies banged hitam hasil rasane banget pasir lembut ga yg kasar wahh rekomended banget,Netral
27,b*****6,5,2025-08-11 15:03,Rasa: enak Tekstur: bagus Kegunaan: membuat kue viral Sudah yg ke dua belanja merk tepung ketan ini sangat enak & tekstur tidak berpasir spt tepung ketan biasa..laris manis 😍,tekstur bagus guna kue viral yg belanja merk tepung ketan tekstur pasir spt tepung ketan laris manis,Netral
28,Langganan,5,2022-03-04 10:49,Jenis: tepung ketan Harga: murah Kualitas: ok Tepung ketan nya sudah sampe ok makasih👍👍  1 ella150578,jenis tepung ketan harga murah kualitas ok tepung ketan sampe ok makasih ella,Positif
29,ella150578,5,2022-03-29 15:47,"Jenis: bagus Harga: ok Kualitas: ok Alhamdulillah ketah hitamnya sudah datang, kualitasnya bagus, tidak mengecewakan, pokoknya top bgt...,.....?  2 lalaajj123",jenis bagus harga ok kualitas ok alhamdulillah ketah hitam kualitas bagus kecewa pokok top bgt lalaajj,Netral
30,lalaajj123,5,2022-03-28 22:17,Kualitas: bagus Jenis: keta hitam Harga: terjangkau Pengiriman cpt harga terjangkau sesuai dengan pesanan 1 tsaulah,kualitas bagus jenis keta hitam harga jangkau kirim cpt harga jangkau sesuai pesan tsaulah,Positif
31,tsaulah,5,2022-04-09 20:32,Jenis: tepung Harga: terjangkau Kualitas: smga bagus Alhamdulillah sudah di terima dg baik  1 i*****y,jenis tepung harga jangkau kualitas smga bagus alhamdulillah terima dg,Positif
32,i*****y,5,2025-06-08 19:55,"Klo dilihat dari tekstur nya tepung ketannya kualitas bagus, tdk menggumpal, cuma di pengiriman agak lumayan lama, pas aku chat ke penjual krn kehabisan stok produksi. Mungkin krn tep ketan hitam akhir2 ini lg viral buat cake ketan hitam lumer. Smoga pas dicoba buat cake hasilnya bagus 1 1 2 3 4 5 6 7 ...",klo tekstur tepung ketan kualitas bagus tdk gumpal kirim lumayan pas chat jual krn habis stok produksi krn tep ketan hitam lg viral cake ketan hitam lumer smoga pas coba cake hasil bagus,Netral
33,Langganan,5,2022-03-17 11:09,Jenis: Tepung ketan Harga: Murah Kualitas: Bagus Barang sudah sampai..Pesenan ku yang ke 2× nya.. Sukses terus buat tokonya🙏  3 binbul3026,jenis tepung ketan harga murah kualitas bagus barang sen ku sukses toko binbul,Positif
34,binbul3026,5,2026-04-15 07:40,Tekstur: suka karena teksturnya tidak berpasir Rasa: enak & manis tidak dicampur2 original ketan hitam Rasakan: manis gurih Saya pakai tepung ini buat jualan kalo ada pesanan2 . Trima kasih seller dikirim dgn aman sampai tempat,tekstur suka tekstur pasir manis campur original ketan hitam rasa manis gurih pakai tepung jual kalo pesan trima kasih seller kirim dgn aman,Netral
35,kaniasukmayanti,5,2023-06-01 12:05,"Cocok Untuk: bolu dan kue Kualitas: bagus Sudah dipakai membuat bolu dan hasilnya bagus, pengemasan jg baik pakai bublewrap 👍  1 augustien8",cocok bolu kue kualitas bagus pakai bolu hasil bagus emas jg pakai bublewrap augustien,Positif
36,augustien8,5,2025-08-09 19:58,"Rasa: ketan hitam Tekstur: lembut Kegunaan: bahan dasar kue Pesanan sdh diterima dg baik dikemas rapi dan aman, sesuai pesanan proses order dan kirimnya cepat, terima kasih 🙏",ketan hitam tekstur lembut guna bahan dasar kue pesan sdh terima dg kemas rapi aman sesuai pesan proses order kirim cepat terima kasih,Positif
37,r*****m,5,2025-06-20 17:09,Rasa: lwzat Tekstur: lembut Kegunaan: kueee enak qangiii lagii😭💗 jangan ragu oder gusyyyy  2 juhartiyah,lwzat tekstur lembut guna kueee qangiii lagi ragu oder gusyyyy juhartiyah,Positif
38,juhartiyah,5,2025-06-23 11:14,Rasa: sangat enak khas beras hitam Tekstur: memiliki tekstur yang bagus dan warna yang sangat hitam Kegunaan: cocok untuk membuat bolu ketan hitam yang virall mantap  ...,khas beras hitam tekstur milik tekstur bagus warna hitam guna cocok bolu ketan hitam virall mantap,Positif
39,c*****i,5,2022-04-21 18:05,"Packaging paketnya aman, pake bubble wrap. Seller ramah. Harga terjangkau. Belum dicoba buat bikin kue, semoga hasilnya bagus. Thanks kak 1 d*****t",packaging paket aman pake bubble wrap seller ramah harga jangkau coba bikin kue moga hasil bagus thanks kak,Positif
40,d*****t,5,2022-04-26 16:47,"Belum dicoba, semoga bagus dibikin kuenya. Jumlah pesanan sesuai.  1 m*****3",coba moga bagus bikin kue pesan sesuai,Positif
41,m*****3,5,2023-06-22 22:37,Cocok Untuk: bolu panggang dan bolu kukus Kualitas: sangat baik sekali ini beneran enak loh 😍 1 k*****a,cocok bolu panggang bolu kukus kualitas beneran loh,Positif
42,k*****a,5,2025-06-24 00:17,Rasa: enak Tekstur: memiliki tekstur yang bagus Kegunaan: untuk membuat kue Aku pake untuk jualan ketan hitam keju lumer dan hasilnya bagus next order lagi 🤗 semoga usahaku makin banyak yang beli amiinn..🥰🥰  1 k*****d,tekstur milik tekstur bagus guna kue pake jual ketan hitam keju lumer hasil bagus next order moga usaha beli amiinn,Positif
43,k*****d,5,2023-03-05 15:14,Kualitas: belum dicoba Cocok Untuk: bolu ketan hitam Pengemasan dan pengiriman cepat sekali. Terimakasih seller. Semoga berkah. Aamiin  3 r*****h,kualitas coba cocok bolu ketan hitam emas kirim cepat terimakasih seller moga berkah aamiin,Positif
44,r*****h,5,2022-07-02 15:05,Pesanan lengkap.. Pengemasan baik.. Pengiriman standart.. Makasih ya..  ...,pesan lengkap emas kirim standart makasih,Positif
45,inovey,5,2025-06-21 14:03,Pertama kali coba produk ini. Dikirim dan sampenya cepat. Mgkn lebih baik dilapis kardus atau bubble wrap supaya ga mudah kerobek. Ini ada yg kerobek sedikit jd kalo plastikny dilepas ada yg keluar2 bubuknya. Udh dipake hasilnya bagus 👍🏼  1 z*****6,coba produk kirim sampenya cepat mgkn lap kardus bubble wrap ga mudah kerobek yg kerobek jd kalo plastikny lepas yg bubuk udh dipake hasil bagus,Positif
46,z*****6,5,2025-06-18 22:17,Rasa: pas di lidah 😛 Tekstur: memiliki tekstur yang bagus Kegunaan: cocok untuk membuat kue yang lezat  1 dwiriy19,pas lidah tekstur milik tekstur bagus guna cocok kue lezat dwiriy,Positif
47,dwiriy19,5,2025-08-09 10:22,"Love sekebon bgt sm tepung ketan hitam ini! Warnanya cantik rasanya tepung ketan item bgtttt, Terimakasih ya Pk/bu telah menciptakan tepung ini😘🤗",love kebon bgt sm tepung ketan hitam warna cantik tepung ketan item bgtttt terimakasih pk bu cipta tepung,Positif
48,l*****h,5,2025-07-18 14:24,Rasa: enak Tekstur: lembut Kegunaan: cocok untuk membuat kue bolu barang nya oke banget sesuai sama pesanan  1 tba.pku,tekstur lembut guna cocok kue bolu barang oke banget sesuai pesan tba pku,Positif
49,tba.pku,5,2025-08-26 15:13,"Rasa: enak setelah dibuat jadi kue Tekstur: halus Kegunaan: membuat aneka makanan Recommended, tepungnya halus",kue tekstur halus guna aneka makan recommended tepung halus,Positif
50,6666hafsah,5,2022-08-09 19:17,Alhamdulillah barang sudah sampai dengan cepat dan amanah terima kasih kepada shoppee toko online nya juga buat jasa pengiriman barang nya yang super keren sukses terus buat semua nya yaaaaaaaaaaaaaaaaaa  ...,alhamdulillah barang cepat amanah terima kasih shoppee toko online jasa kirim barang super keren sukses yaaaaaaaaaaaaaaaaaa,Positif
51,stefaniephiu,5,2023-04-04 13:48,Cocok Untuk: kue Kualitas: bagus Pengemasan rapi... pengiriman juga cepat..belum tau rasanya..Karna baru coba...KLO enak akan repeat order LG ..thx 1 m*****s,cocok kue kualitas bagus emas rapi kirim cepat tau karna coba klo repeat order lg thx,Positif
52,m*****s,5,2025-07-11 21:49,Rasa: lezat Tekstur: bagus Kegunaan: untuk adonan kue bolu Pack aging nya bagus shg kualitas produk nya terjaga  1 fitriaulya733,lezat tekstur bagus guna adon kue bolu pack aging bagus shg kualitas produk jaga fitriaulya,Positif
53,fitriaulya733,5,2025-06-22 14:38,"Rasa: rasanya sangat lezat dan istimewa, memiliki tekstur yang lembut, cocok untuk membuat kue tepung ketan lumer yang lagi viral  1 juhartiyah",lezat istimewa milik tekstur lembut cocok kue tepung ketan lumer viral juhartiyah,Positif
54,juhartiyah,5,2025-07-15 09:37,Rasa: memiliki citarasa yang lezat Tekstur: memiliki tekstur yang bagus Kegunaan: cocok untuk membuat kue ketan hitam virall Mantap selalu beli di sini si  1 lilislisdaliawati,milik citarasa lezat tekstur milik tekstur bagus guna cocok kue ketan hitam virall mantap beli si lilislisdaliawati,Positif
55,lilislisdaliawati,5,2022-09-13 07:30,"Kualitas: baik Cocok Untuk: bolu Kualitas baik, harga murah, pengemasan baik, pengiriman cepat, best seller  1 gitadp",kualitas cocok bolu kualitas harga murah emas kirim cepat best seller gitadp,Positif
56,gitadp,5,2025-06-09 14:05,Rasa: enak 100% tepung ketan hitam Kegunaan: bolu brownies dll Tekstur: lembut enak Baru sampai langsung eksekusi ternyata rasanya enak beneran tepung ketan hitam asli..makasih seller ...,tepung ketan hitam guna bolu brownies dll tekstur lembut eksekusi beneran tepung ketan hitam asli makasih seller,Positif
57,muslimahday,5,2026-01-12 09:29,"terimakasih seller, barang diterima sesuai pesanan tadinya pilih tepung ini karena ada yang kasih penilaian bahwa enak tekstur tepung nya berpasir tapi ternyata setelah dicoba, bolunya tidak berpasir :( terimakasih expedisi, barang diterima dengan selamat",terimakasih seller barang terima sesuai pesan pilih tepung kasih nilai tekstur tepung pasir coba bolu pasir terimakasih expedisi barang terima selamat,Netral
58,liviacicidahlia,5,2026-03-01 08:04,"Tekstur: lembut Rasa: ketan Rasakan: ketan Recommended. Produk bagus, original , kualitas nya bagus, harganya murah karena dpet voucher besar dari Shopee. Paling seneng war vouchee2 Shopee karena dpet hrga sangat murcee makasih",tekstur lembut ketan rasa ketan recommended produk bagus original kualitas bagus harga murah dpet voucher shopee neng war vouchee shopee dpet hrga murcee makasih,Positif
59,s*****2,5,2025-12-10 12:10,Pembelian kedua karena sebelumnya udah pernah beli dan rasa bolunya enak banget. Bahkan sampe temenku nanyain kapan bikin bolu ketan hitam lagi xixixi  1 e*****y,beli udah beli bolu banget sampe temenku nanyain bikin bolu ketan hitam xixixi,Positif
60,e*****y,5,2025-06-18 20:09,"Rasa: Enak Tekstur: Lembut tidak berpasir Kegunaan: Cocok untuk membuat bolu ketan, warnanya hitam pekat Dikemas dengan aman jadi tidak takut bocor, lapisan 1 plastik bertuliskan warning fragile, lapisan 2 menggunakan bubble wrap, lapisan 3 menggunakan plastik bening. 2 d*****5",tekstur lembut pasir guna cocok bolu ketan warna hitam pekat kemas aman takut bocor lapis plastik tulis warning fragile lapis bubble wrap lapis plastik bening,Netral
61,d*****5,5,2025-08-08 17:47,Rasa: enak Tekstur: lembut Kegunaan: kue Pengiriman cepat packaging aman terimakasih seller kurir dan shopee,tekstur lembut guna kue kirim cepat packaging aman terimakasih seller kurir shopee,Positif
62,shanum_1819,5,2025-06-09 13:56,Rasa: baik Kegunaan: cocok buat kue Tekstur: lembut Tepung ketan hitam nya bagus pengemasan baik ekp Desember nanti  ...,guna cocok kue tekstur lembut tepung ketan hitam bagus emas ekp desember,Positif
63,miftanianieya,5,2025-08-08 11:44,Rasa: Ketan hitam Tekstur: bagus Kegunaan: Buat kue Mantap ne sesuai rasanya jg enak trima kasih bnyk,ketan hitam tekstur bagus guna kue mantap ne sesuai jg trima kasih bnyk,Positif
64,a*****2,5,2025-08-25 13:46,Rasa: enak Tekstur: seperti tekstur tepung ketan pada umumnya Kegunaan: cocok untuk bolu ketan hitam,tekstur tekstur tepung ketan guna cocok bolu ketan hitam,Positif
65,s*****a,5,2025-06-19 09:57,"Rasa: enak legit khas ketan hitam Tekstur: halus tapi butiran.a masih terasa karena mungkin di oven tepung.a Kegunaan: membuat cake Rasa.a enak legit, kenyal khas ketan hitam, warna.a juga cantik pekat, karena ini tepung full oven jadi walau dikukus butiran.a masih aga terasa tp ttp ok bukan yg berpasir gimana gitu 3 dwiriy19",legit khas ketan hitam tekstur halus butir oven tepung guna cake legit kenyal khas ketan hitam warna cantik pekat tepung full oven kukus butir aga tp ttp ok yg pasir gimana gitu dwiriy,Netral
66,dwiriy19,5,2025-08-09 10:25,Rasa: kaya rasa dan legit Tekstur: lembuttt dan nyaman di mulut Kegunaan: cocok bust bolu ketan hitam bapak ibu Terimakasih yaaa udah ciptain ini,kaya legit tekstur lembuttt nyaman mulut guna cocok bust bolu ketan hitam terimakasih yaaa udah ciptain,Positif
67,n*****1,5,2025-08-27 22:49,"Maaf kelupaan baru memberikan ulasan. Barang keterima dalam keadaan baik, packingnya safety",maaf lupa ulas barang terima packingnya safety,Positif
68,q2woxx75nc,5,2025-07-28 13:34,"Rasa: rasanya enak dan memuaskan Tekstur: memiliki textur yg bagus Kegunaan: cocok untuk membuat kue Barang cepet datang,  kemasannya bagus tidak ada yang bocor atau sobek, semoga kueku makin laris  ...",muas tekstur milik textur yg bagus guna cocok kue barang cepet kemas bagus bocor sobek moga kue laris,Netral
69,sitinuranisukmayanti,5,2025-06-20 08:28,"Rasa: enak,empuk,wangi ketan'y berasa.pertahankan kualitas ya kak. Orderan yg ke dua, order 3pc tp dikirim 2pc. Tp alhamdulillah seller'y gercep lngsung refund kekurangan'y.. Mkasih byk ya kak,semoga slalu dilancarkan usaha'y....aamiin 1 r*****y",empuk wangi ketan asa tahan kualitas kak order yg order pc tp kirim pc tp alhamdulillah seller gercep lngsung refund kurang mkasih byk kak moga slalu lancar usaha aamiin,Netral
70,r*****y,5,2025-08-13 08:13,"Packingaan rapi, produk aman sampai tujuan. Dapet harga promo 8 8. Kali pertama beli  semoga enak rasanya. Terima kasih seller",packingaan rapi produk aman tuju dapet harga promo beli moga terima kasih seller,Positif
71,irmana1981,5,2025-08-15 23:33,"Rasa: pas Tekstur: lembut Kegunaan: untuk bahan kue makasih tepung ketan ny sudah smp, kualitas bagus ..hrg terjangkau .. pengiriman cepat packing rapi.. makasih reseller👍🏻",pas tekstur lembut guna bahan kue makasih tepung ketan ny smp kualitas bagus hrg jangkau kirim cepat packing rapi makasih reseller,Positif
72,dwiriy19,5,2025-08-09 10:24,"Rasa: enak bgt legit Tekstur: teksturnya ringan Kegunaan: cocok untuk bolu ketan hitam🥰💸 Aku suka bgt sama warnanya, warnanya tuh dapet bgt💕",bgt legit tekstur tekstur ringan guna cocok bolu ketan hitam suka bgt warna warna tuh dapet bgt,Positif
73,j*****i,5,2025-08-01 14:24,Rasa: baru mau coba semoga enak Tekstur: sangat lembut Kegunaan: cocok untuk membuat berbagai macam kue,coba moga tekstur lembut guna cocok kue,Positif
74,aam.amalia67,5,2025-07-20 15:28,Ke 2x nya beli tepung ketan disini. Tepungnya lembut harum dan tidak masir di bolunya. Pokoknya enak. ...,beli tepung ketan tepung lembut harum masir bolu pokok,Positif
75,i*****i,5,2025-07-07 07:15,Rasa: belum dicoba semoga enak Tekstur: memiliki tekstur yang halus Kegunaan: cocok untuk membuat kue belum dicoba semoga enak dan kadaluarsa nya juga masih jauh 1 tahun  1 m*****9,coba moga tekstur milik tekstur halus guna cocok kue coba moga kadaluarsa tahun,Positif
76,m*****9,5,2025-06-21 13:49,"Cocok Untuk: bahan kue Kualitas: bagus Alhamdulillah paket sampai dengan selamat,,, packing nya pun aman terimakasih  1 a*****2",cocok bahan kue kualitas bagus alhamdulillah paket selamat packing aman terimakasih,Netral
77,a*****2,5,2025-07-16 00:45,"Rasa: enak Tekstur: tekstur khas tepung ketan hitam, kres kres Kegunaan: untuk membuat bolu kukus Saran aja kalo bisa bubble wrapnya jangan cuma selapis (atau dilapis kardus disalah satu atau dua sisinya) kena cutter dikit auto ambyar kemasan plastiknya makasih 🙏  1 laras.trisnanti",tekstur tekstur khas tepung ketan hitam kres kres guna bolu kukus saran aja kalo bubble wrapnya selap lap kardus salah sisi cutter dikit auto ambyar kemas plastik makasih laras trisnanti,Positif
78,laras.trisnanti,5,2025-06-06 18:29,"Dibikin bolu jd bagus. Lembut, ngembang sempurna. Menul² banget gais... Dukung UMKM🥰 2 ikketheaa | Langganan",bikin bolu jd bagus lembut ngembang sempurna menul banget gais dukung umkm ikketheaa langgan,Positif
79,Langganan,5,2022-03-05 12:18,Paketnya sampai mksih seller dan kurir🙂  1 ucial_07,paket mksih seller kurir ucial,Positif
80,ucial_07,5,2025-07-09 19:48,Rasa: enakk dan puass Tekstur: haluss tidak kasar Kegunaan: cocok bangett buat boluu Orderr ke2× nya😍😍 ...,enakk puass tekstur haluss kasar guna cocok bangett boluu orderr,Netral
81,Langganan,5,2022-03-05 12:18,Paketnya sampai mksih seller dan kurir🙂,paket mksih seller kurir,Positif
82,tetisoleha,5,2025-07-12 00:01,"Rasa: tawar Tekstur: lembut Kegunaan: untuk kue bolu Kemasan aman , dr segi harga juga muraj dibanding yg lain , pengiriman cepat dan kwalitas ok  1 m*****3",tawar tekstur lembut guna kue bolu kemas aman dr segi harga muraj banding yg kirim cepat kwalitas ok,Positif
