ulasan,ulasan_bersih,skor_sentimen,label,sentimen
"Kualitas: bagus Cocok Untuk: boluu Nyampenya cepet, setelah dieksekusi hasilnya memuaskan, enak bgt bolunya, pas mateng langsung aku serbu sendiri sampe mau habis separonya.. makasih seller, next bakalan order lagi nih!! 0:18 26 t*****9",kualitas bagus cocok boluu nyampenya cepet eksekusi hasil muas enak bolu pas mateng langsung serbu sampe habis paro jual,35,1,Positif
"Jenis: tepung ketan hitam Harga: murah Kualitas: bagus Pertama kali beli tepung ini buat bikin bolu ketan pas lebaran nanti, keliatannya sih kualitas tepungnya bagus. Untuk packing rapih, pengiriman jg cepet, harga murah. Thanks eak👍 0:06 4 a*****2",jenis tepung ketan hitam harga murah kualitas bagus tepung bolu ketan pas lebaran liat kualitas tepung bagus kemas rapih kirim cepet harga murah eak,32,1,Positif
"Rasa: enak Tekstur: normal seperti tepung ketan pada umumnya Kegunaan: cocok untuk membuat kue Solusi jitu biar ga berebut tepung ketan hitam di pasar ya beli disini aja guys. Recomended, harga bersahabat, pengiriman cepat. Mantap, thanks 👍🙏 0:08 1 nienieng",enak tekstur normal tepung ketan guna cocok kue solusi jitu biar rebut tepung ketan hitam pasar guys recomended harga sahabat kirim cepat bagus nienieng,27,1,Positif
"Rasa: enak dibuat bolu Kegunaan: buat bolu ketan hitam ORI dan keju lumer Kualitas: baik Pake tepung ini hitamnya pekat dan legit bgt di buat bolu apalagi klo bolunya sudah suhu ruang. Terima kasih seller, sukses selalu usahanya 0:10 3 raiqa.hijab | Langganan",enak bolu guna bolu ketan hitam ori keju lembut kualitas pakai tepung hitam pekat legit bolu bolu suhu ruang jual sukses usaha raiqa hijab langgan,10,1,Positif
Jenis: tepung ketan hitam Harga: murah Kualitas: ok Yuk bantu UMKM kita maju dengan berbelanja di toko ini. Pengemasan sangat baik. Harga ramah di kantong. Kualitas Ok 0:13 4 m*****3,jenis tepung ketan hitam harga murah kualitas ok yuk bantu umkm maju belanja toko emas harga ramah kantong kualitas ok,36,1,Positif
"Kualitas: sangat baikkk sekali, enak poll dan bakal langganan terus ditoko ini 😍 Cocok Untuk: bolu kukus dan panggang 0:05 4 1 2 3 4 5 ...",kualitas baikkk enak poll langgan toko cocok bolu kukus panggang,15,1,Positif
Jenis: Tepung ketan hitam Harga: murah Kualitas: baik sekali terMANTUL lah pokoknya Next pasti order lagi la 0:05 2 3ra43w69o0,jenis tepung ketan hitam harga murah kualitas termantul pokok la rawo,9,1,Positif
Rasa: enak banget Tekstur: lembut Kegunaan: cocok buat kue Tepung nya asli bagus banget Enak Kentan hitam nya terasa banget Beda sama tepung yang ditoko toko yang merek….. Terima kasih toko amanah banget deh 0:04 1,enak tekstur lembut guna cocok kue tepung nya asli bagus enak kentan hitam nya beda tepung toko toko merek toko amanah,18,1,Positif
"Sudah dicoba buat bikin bolu ketan hitam dan enak, legit. Terima kasih seller 0:05 7 lianawatihasibuan582",coba bolu ketan hitam enak legit jual lianawatihasibuan,8,1,Positif
"Komposisinya 100% beras ketan hitam,alami dan produksi lokal indonesia 0:11 1 k*****i",komposisi beras ketan hitam alami produksi lokal indonesia,-7,0,Negatif
"Dbikin bolu ketan hitam hsilx bolu hitam pekat enk tektur kasar , d paking rapi 0:04 2 s*****u",dbikin bolu ketan hitam hsilx bolu hitam pekat enk tektur kasar paking rapi,-5,0,Negatif
"Cocok Untuk: bolu ketan hitam Kualitas tepungnya emang bagus, masih baru. Thanks 0:04 1 1 2 3 4 5 ...",cocok bolu ketan hitam kualitas tepung emang bagus,6,1,Positif
